time,user_name,user_color,message
73,speload,#FF0000,"Dance  same 5 intro songs"
74,lethallin_ari,#008000,"neuroOnline"
74,marswatchn,#9ACD32,"neuroOnline"
75,real7r,#8A2BE2,"vedalDance vedalDance vedalDance vedalDance vedalDance"
75,threegale_,#FF0000,"Dance  same 5 intro songs"
75,kindbudew,#FF4500,"vedalDance"
75,rat__milker,,"ratJAM"
75,valixis,,"vedalCheer vedalCheer"
75,themageboy,#8A2BE2,"TutelRum"
75,izzabella33,#1E90FF,"DinoDance DinoDance DinoDance DinoDance DinoDance"
76,mirelurkking,#00FF7F,"vedalNURU vedalDance"
76,gamehead130,#FF0000,"Dance"
76,lkouno,#FF748C,"neuroOnline"
76,destroyedarkana,#FF0000,"o7"
77,maisatraisat,#FF4500,"vedalCheer vedalCheer vedalCheer vedalCheer"
77,not_sofy1,#8A2BE2,"not_sofy1 subscribed at Tier 1. They've subscribed for 5 months! vedalWave"
77,victorsama_rank4s_fighter,#008000,"vedalCheer vedalEvilCheer vedalCheer vedalEvilCheer vedalCheer vedalEvilCheer vedalCheer vedalEvilCheer"
77,apackofjjs,#1E90FF,"vedalEvilCheer vedalCheer vedalEvilCheer vedalCheer vedalEvilCheer vedalCheer"
77,magicpurple2,,"GlitchCat GlitchCat aragomNoted aragomSweat aragomSweat aragomNoted aragomClown"
78,meowhib,#00FF7F,"!song"
78,speload,#FF0000,"Dance same 5 intro songs"
78,ephemeral_defect_,#5F9EA0,"nwero FingerPoint LIYAH nwero FingerPoint LIYAH nwero FingerPoint LIYAH nwero FingerPoint LIYAH nwero FingerPoint LIYAH nwero FingerPoint LIYAH nwero FingerPoint LIYAH nwero FingerPoint LIYAH"
79,tek_magician,#B22222,"ello peeps"
79,draycu101,,"LETS GOO"
80,eksifyt,#00FFE2,"vedalCheer vedalEvilCheer vedalCheer vedalCheer vedalEvilCheer vedalCheer vedalCheer vedalEvilCheer vedalEvilCheer vedalCheer"
80,tangnim,#DAA520,"neuroOnline EVERYONE IS DEAD FROM HANGOVER"
80,threegale_,#FF0000,"Dance same 5 intro songs"
80,derflo1234,#1E90FF,"Hiii vedalWave vedalWave vedalWave vedalWave"
81,thelostnovice,#1E90FF,"No hangover neuroOnline"
81,infernal_ekoro,#FF4500,"vedalCheer"
81,superduty1000,#009EFF,"vedalNURU vedalNURU vedalNURU"
82,silenceisforever,#1E90FF,"neuroDegen"
83,neroxen_,#FF69B4,"neuroOnline yey"
83,speload,#FF0000,"Dance  same 5 intro songs"
84,brr_of_soap,#008000,"neuroOnline"
84,muhammad6_6,#00FF7F,"minibotGroove minibotCheer minibotGroove minibotCheer minibotGroove minibotCheer minibotApplause minibotGroove minibotCheer minibotApplause minibotGroove minibotCheer"
84,leviy_tipok,,"neuroOnline"
84,ninjakai03,#2E8B57,"NOWAYING ani SOLO ANNY STREAM NOWAYING ani SOLO ANNY STREAM NOWAYING ani SOLO ANNY STREAM NOWAYING ani SOLO ANNY STREAM NOWAYING ani SOLO ANNY STREAM NOWAYING ani SOLO ANNY STREAM NOWAYING ani SOLO ANNY STREAM"
85,huh1420,,"itzcbdDance itzcbdDance itzcbdDance itzcbdDance"
85,reivoon,#1E90FF,"AnnyLebronJam AnnyLebronJam AnnyLebronJam"
85,maisatraisat,#FF4500,"vedalWave"
86,lordsadl,,"neuro"
86,vixletshowing,#FF69B4,"vedalCheer vedalEvilCheer vedalCheer vedalEvilCheer vedalCheer vedalEvilCheer"
86,demonxeron,#FF0000,"NeuroDance New Neuro content NeuroDance"
86,aishaluii,#FF69B4,"neuroOnline"
86,cuernodmamut,#00FF7F,"neuroOnline"
86,glitchybutters,#1E90FF,"vedalDance vedalNURU vedalDance vedalCheer vedalDance vedalNURU vedalDance"
86,ephemeral_defect_,#5F9EA0,"nwero FingerPoint LIYA nwero FingerPoint LIYA nwero FingerPoint LIYA nwero FingerPoint LIYA nwero FingerPoint LIYA nwero FingerPoint LIYA"
87,anonymous1337666,,"Good evening."
87,threegale_,#FF0000,"Dance  same 5 intro songs"
87,moorea__,#D19A00,"same 5000 intro songs Dance"
87,izzabella33,#1E90FF,"DinoDance DinoDance DinoDance DinoDance DinoDance DinoDance"
88,flakyishky,#80DAF4,"vedalEvilCheer vedalCheer vedalEvilCheer vedalCheer vedalEvilCheer vedalCheer"
88,creampuff_soup,,"wowie zowie"
89,torlice,,"nwero LIYAH nwero LIYAH nwero LIYAH nwero LIYAH nwero LIYAH nwero LIYAH nwero LIYAH nwero LIYAH"
89,speload,#FF0000,"Dance same 5 intro songs"
89,silenceisforever,#1E90FF,"neuroDegen EDM"
90,daniel_8908,#4040B7,"@ninjakai03 om"
90,magicpurple2,,"aragomGoom"
90,reisenerio,,"vedalCheer vedalEvilCheer vedalCheer vedalCheer vedalEvilCheer vedalCheer vedalCheer vedalEvilCheer vedalEvilCheer vedalCheer"
91,goldenmemez369,#FF69B4,"cerbySpin cerbySpin cerbyBounce cerbyBounce cerbySpin cerbySpin cerbyBounce cerbyBounce cerbySpin cerbySpin cerbyBounce cerbyBounce cerbySpin cerbySpin cerbyBounce cerbyBounce"
92,thegunnymac,#FF0000,"vedalCheer vedalEvilCheer vedalCheer vedalEvilCheer vedalCheer vedalNURU"
92,magicpurple2,,"aragomPat aragomPat aragomPat aragomPat aragomPat aragomPat aragomPat"
